,University,Program,Criminal Record,Scholarship,Income
8198,2,2,1,1,mid
8199,4,0,1,2,high
8200,2,2,0,2,mid
8201,5,4,1,3,mid
8202,1,3,0,3,mid
8203,2,2,0,2,mid
8204,4,4,1,2,mid
8205,1,1,1,0,low
8206,1,1,0,3,mid
8207,1,0,0,1,high
8208,3,3,1,3,mid
8209,1,2,1,3,mid
8210,4,0,1,0,high
8211,3,3,1,2,mid
8212,0,1,0,2,mid
8213,5,2,1,0,mid
8214,4,1,1,1,low
8215,1,0,0,1,high
8216,3,3,0,0,mid
8217,0,3,1,3,mid
8218,0,4,1,0,mid
8219,4,1,1,0,mid
8220,3,4,0,1,mid
8221,5,2,0,0,mid
8222,3,3,0,2,mid
8223,2,1,0,2,low
8224,2,2,0,0,mid
8225,0,1,0,3,low
8226,1,1,0,3,mid
8227,4,2,1,1,mid
8228,4,1,1,0,low
8229,4,1,1,0,mid
8230,3,4,1,3,mid
8231,3,4,0,2,mid
8232,4,4,0,1,mid
8233,2,0,1,2,high
8234,1,4,1,0,mid
8235,4,2,1,3,mid
8236,5,4,1,3,mid
8237,1,3,0,1,mid
8238,2,2,0,1,mid
8239,4,3,0,1,mid
8240,2,4,1,3,mid
8241,1,3,0,1,mid
8242,1,2,1,3,mid
8243,4,1,0,3,low
8244,4,0,0,1,high
8245,1,4,0,2,mid
8246,0,1,0,2,mid
8247,3,2,0,1,mid
8248,1,0,1,3,high
8249,1,0,0,3,high
8250,5,0,1,1,high
8251,2,0,1,2,high
8252,5,2,1,0,mid
8253,3,4,0,0,mid
8254,0,4,0,1,mid
8255,0,1,0,3,mid
8256,1,0,1,0,high
8257,5,3,0,2,mid
8258,5,2,0,3,mid
8259,2,2,1,3,mid
8260,0,4,1,2,mid
8261,3,4,1,1,mid
8262,4,0,1,1,high
8263,0,1,0,2,mid
8264,4,1,0,0,low
8265,3,4,0,3,mid
8266,4,4,0,3,mid
8267,3,0,0,3,high
8268,5,2,0,3,mid
8269,4,0,0,2,high
8270,2,4,1,0,mid
8271,2,2,1,0,mid
8272,1,0,0,3,high
8273,1,0,1,1,high
8274,5,2,0,1,mid
8275,3,1,0,0,low
8276,2,3,1,1,mid
8277,1,2,0,1,mid
8278,3,0,1,3,high
8279,3,3,1,2,mid
8280,5,4,1,3,mid
8281,2,0,0,1,high
8282,3,2,0,1,mid
8283,4,0,0,2,high
8284,5,1,0,0,mid
8285,2,1,0,1,mid
8286,0,2,0,3,mid
8287,3,3,1,0,mid
8288,3,2,0,1,mid
8289,3,3,0,1,mid
8290,0,2,1,2,mid
8291,4,1,1,0,low
8292,1,0,1,0,high
8293,5,0,0,3,high
8294,3,3,1,3,mid
8295,1,0,1,0,high
8296,3,3,0,0,mid
8297,2,4,1,2,mid
8298,5,3,0,3,mid
8299,4,3,1,3,mid
8300,3,1,0,2,mid
8301,3,3,1,3,mid
8302,1,3,0,3,mid
8303,2,3,0,2,mid
8304,0,2,1,2,mid
8305,2,0,0,3,high
8306,0,0,0,2,high
8307,0,0,1,1,high
8308,4,2,1,3,mid
8309,0,1,1,2,mid
8310,2,0,1,0,high
8311,4,4,0,0,mid
8312,5,0,1,0,high
8313,1,0,1,1,high
8314,2,0,1,0,high
8315,2,1,0,3,low
8316,5,0,0,0,high
8317,2,1,1,0,mid
8318,3,4,1,2,mid
8319,3,0,0,1,high
8320,3,0,0,3,high
8321,0,4,1,1,mid
8322,3,4,1,3,mid
8323,2,0,1,3,high
8324,0,2,1,0,mid
8325,1,2,0,1,mid
8326,0,0,1,3,high
8327,2,0,0,1,high
8328,2,1,1,0,mid
8329,1,0,1,1,high
8330,0,2,1,2,mid
8331,4,0,1,0,high
8332,1,2,0,2,mid
8333,3,1,0,0,low
8334,1,0,1,3,high
8335,4,2,0,2,mid
8336,1,2,0,2,mid
8337,4,2,1,3,mid
8338,5,3,1,0,mid
8339,4,3,0,1,mid
8340,2,0,0,1,high
8341,1,2,0,2,mid
8342,5,1,1,3,low
8343,5,0,1,0,high
8344,4,4,0,3,mid
8345,5,4,0,3,mid
8346,3,3,1,1,mid
8347,3,2,0,2,mid
8348,2,3,0,0,mid
8349,3,0,0,2,high
8350,2,0,0,0,high
8351,1,1,0,3,low
8352,2,0,1,0,high
8353,2,1,1,0,mid
8354,3,0,0,0,high
8355,4,1,1,3,low
8356,2,1,1,2,mid
8357,3,4,0,2,mid
8358,4,3,1,0,mid
8359,0,3,1,2,mid
8360,0,0,1,3,high
8361,2,4,1,1,mid
8362,4,2,0,1,mid
8363,2,3,0,1,mid
8364,2,4,0,1,mid
8365,1,2,1,3,mid
8366,0,0,0,0,high
8367,2,4,1,3,mid
8368,2,4,1,0,mid
8369,0,3,1,3,mid
8370,0,3,1,3,mid
8371,2,1,1,1,mid
8372,3,1,0,1,low
8373,2,3,1,1,mid
8374,3,0,0,0,high
8375,5,1,0,2,mid
8376,5,0,1,0,high
8377,0,1,1,1,mid
8378,3,4,0,0,mid
8379,1,4,1,1,mid
8380,1,1,1,2,mid
8381,0,2,1,3,mid
8382,3,0,1,0,high
8383,5,1,0,1,mid
8384,2,2,1,1,mid
8385,4,3,1,2,mid
8386,1,3,1,0,mid
8387,1,0,0,3,high
8388,1,2,1,3,mid
8389,3,4,0,1,mid
8390,3,4,0,1,mid
8391,4,3,1,2,mid
8392,1,4,0,3,mid
8393,4,1,0,3,mid
8394,2,0,0,2,high
8395,0,3,0,1,mid
8396,5,2,1,1,mid
8397,4,2,1,2,mid
8398,2,3,0,3,mid
8399,3,1,0,2,mid
8400,2,3,1,3,mid
8401,0,4,0,0,low
8402,3,3,1,2,mid
8403,4,4,1,3,mid
8404,1,3,0,2,mid
8405,2,2,0,2,mid
8406,4,4,1,2,mid
8407,4,4,0,3,mid
8408,3,1,1,1,mid
8409,3,3,0,0,mid
8410,3,1,1,3,low
8411,2,0,0,0,high
8412,3,3,0,2,mid
8413,3,3,1,3,mid
8414,2,2,0,3,mid
8415,1,3,0,2,mid
8416,5,3,1,2,mid
8417,5,0,0,0,high
8418,3,3,0,3,mid
8419,4,3,0,0,mid
8420,3,2,0,2,mid
8421,3,1,1,3,mid
8422,2,4,1,1,mid
8423,2,2,0,2,mid
8424,5,0,0,3,high
8425,5,2,1,2,mid
8426,3,3,1,3,mid
8427,2,2,0,1,mid
8428,1,2,0,1,mid
8429,5,3,0,0,mid
8430,5,3,1,3,mid
8431,4,0,0,1,high
8432,0,1,0,1,mid
8433,2,3,0,0,mid
8434,3,1,0,3,mid
8435,2,2,1,3,mid
8436,1,0,1,2,high
8437,3,3,1,2,mid
8438,5,3,0,1,mid
8439,1,3,1,2,mid
8440,2,3,0,3,mid
8441,3,1,0,1,mid
8442,5,2,0,2,mid
8443,0,4,0,2,mid
8444,0,3,0,3,mid
8445,0,4,1,2,mid
8446,0,4,0,1,mid
8447,4,1,0,2,mid
8448,0,4,1,1,mid
8449,2,2,1,0,mid
8450,1,4,0,0,mid
8451,4,0,1,3,high
8452,5,2,1,0,mid
8453,1,4,1,3,mid
8454,0,1,0,2,low
8455,2,3,1,1,mid
8456,3,0,1,3,high
8457,4,2,0,2,mid
8458,5,2,1,0,mid
8459,3,2,1,0,mid
8460,0,1,0,0,mid
8461,5,0,0,1,high
8462,2,3,1,1,mid
8463,0,2,1,0,mid
8464,2,3,1,1,mid
8465,5,1,0,2,low
8466,2,1,0,0,low
8467,4,0,0,2,high
8468,0,4,0,2,mid
8469,5,1,0,3,low
8470,0,3,1,2,mid
8471,4,4,1,3,mid
8472,1,4,1,1,mid
8473,2,0,0,2,high
8474,3,3,1,3,mid
8475,2,2,0,2,mid
8476,3,0,0,1,high
8477,0,0,1,1,high
8478,3,4,0,3,mid
8479,2,1,0,2,mid
8480,4,3,1,3,mid
8481,0,2,0,0,mid
8482,0,1,0,0,low
8483,1,4,0,1,mid
8484,4,2,1,1,mid
8485,1,3,0,1,mid
8486,3,0,0,3,high
8487,1,4,0,0,mid
8488,0,3,1,0,mid
8489,2,2,0,0,mid
8490,2,0,0,3,high
8491,2,4,0,2,mid
8492,1,2,1,2,mid
8493,2,1,0,0,low
8494,2,4,0,2,mid
8495,2,4,1,1,mid
8496,2,0,0,3,high
8497,0,3,0,0,mid
8498,2,3,1,3,mid
8499,4,2,1,3,mid
8500,2,1,0,0,low
8501,2,0,0,2,high
8502,5,3,1,2,mid
8503,5,1,0,2,low
8504,3,3,1,1,mid
8505,2,0,1,0,high
8506,3,1,1,3,mid
8507,3,3,0,0,mid
8508,0,4,0,2,mid
8509,5,3,0,1,mid
8510,5,4,0,1,mid
8511,3,0,1,0,high
8512,3,2,1,3,mid
8513,4,4,0,1,mid
8514,1,1,1,1,mid
8515,1,0,0,2,high
8516,0,2,1,2,mid
8517,0,0,1,2,high
8518,4,1,1,1,low
8519,0,1,1,3,mid
8520,2,1,0,3,mid
8521,4,1,1,2,low
8522,4,3,0,3,mid
8523,0,1,0,3,mid
8524,1,1,0,3,low
8525,1,2,0,1,mid
8526,1,3,1,1,mid
8527,5,4,0,2,mid
8528,2,2,1,2,mid
8529,3,4,0,1,mid
8530,4,4,0,1,mid
8531,1,3,0,1,mid
8532,5,0,1,3,high
8533,2,1,0,2,low
8534,2,3,1,0,mid
8535,3,0,1,0,high
8536,2,1,1,2,low
8537,5,0,1,2,high
8538,5,2,1,1,mid
8539,5,0,0,3,high
8540,4,1,1,1,low
8541,2,0,0,0,high
8542,4,3,0,0,mid
8543,3,3,1,3,mid
8544,3,2,1,1,mid
8545,1,4,0,3,mid
8546,4,2,0,1,mid
8547,4,0,1,0,high
8548,5,2,1,3,mid
8549,2,2,1,3,mid
8550,3,4,0,2,mid
8551,4,0,0,3,high
8552,5,3,1,0,mid
8553,5,0,0,0,high
8554,5,0,1,1,high
8555,1,4,0,1,mid
8556,3,4,1,1,mid
8557,5,3,0,1,mid
8558,4,4,0,3,mid
8559,3,2,1,2,mid
8560,3,0,0,2,high
8561,4,2,0,3,mid
8562,5,3,1,2,mid
8563,1,4,1,0,mid
8564,4,4,0,2,mid
8565,0,3,1,3,mid
8566,5,2,0,1,mid
8567,1,0,1,0,high
8568,4,2,1,3,mid
8569,5,1,1,1,mid
8570,1,1,1,1,mid
8571,4,1,0,1,low
8572,0,0,0,1,high
8573,4,0,1,1,high
8574,4,4,0,0,mid
8575,2,2,1,3,mid
8576,4,3,1,3,mid
8577,0,0,1,1,high
8578,4,2,1,1,mid
8579,2,1,1,3,low
8580,3,3,1,2,mid
8581,5,3,1,3,mid
8582,0,0,0,0,high
8583,0,2,0,2,mid
8584,2,1,0,1,mid
8585,4,3,1,2,mid
8586,2,3,1,0,mid
8587,2,3,1,1,mid
8588,5,3,0,3,mid
8589,2,0,0,1,high
8590,1,4,0,1,mid
8591,1,1,0,2,mid
8592,1,3,0,2,mid
8593,2,3,1,2,mid
8594,0,4,1,3,mid
8595,3,1,1,3,mid
8596,4,2,0,0,mid
8597,4,2,1,1,mid
8598,0,1,0,1,mid
8599,4,0,0,1,high
8600,0,2,0,3,mid
8601,1,2,0,2,mid
8602,3,0,0,0,high
8603,3,1,0,3,mid
8604,3,2,1,0,mid
8605,2,4,0,1,mid
8606,1,3,1,0,mid
8607,3,4,0,3,mid
8608,4,0,0,0,high
8609,4,2,1,2,mid
8610,4,4,0,2,mid
8611,0,1,1,2,mid
8612,4,1,0,1,mid
8613,3,3,0,3,mid
8614,4,0,1,3,high
8615,0,1,1,0,mid
8616,4,3,0,2,mid
8617,3,4,1,1,mid
8618,2,0,0,0,high
8619,3,4,0,0,mid
8620,1,2,1,2,mid
8621,5,4,1,1,mid
8622,1,1,0,1,mid
8623,4,3,1,1,mid
8624,5,4,1,0,mid
8625,3,3,0,0,mid
8626,2,4,1,3,mid
8627,3,3,1,2,mid
8628,3,4,0,1,mid
8629,3,4,0,0,mid
8630,5,4,1,2,mid
8631,2,0,0,1,high
8632,3,2,1,2,mid
8633,0,1,1,0,mid
8634,2,4,1,2,mid
8635,1,3,1,2,mid
8636,4,3,1,2,mid
8637,2,1,0,2,mid
8638,0,0,0,3,high
8639,4,1,0,2,low
8640,0,4,1,0,mid
8641,3,4,1,0,mid
8642,5,3,1,2,mid
8643,0,4,1,3,mid
8644,4,2,0,3,mid
8645,3,1,0,2,mid
8646,5,0,0,0,high
8647,5,3,1,2,mid
8648,2,3,1,2,mid
8649,3,4,0,1,mid
8650,0,0,1,2,high
8651,2,2,0,3,mid
8652,4,4,0,3,mid
8653,1,2,1,2,mid
8654,1,0,0,1,high
8655,0,4,0,2,mid
8656,2,1,1,1,low
8657,2,2,0,0,mid
8658,2,0,1,3,high
8659,1,4,0,3,mid
8660,2,4,1,3,mid
8661,3,4,1,3,mid
8662,2,0,0,0,high
8663,3,3,1,3,mid
8664,4,0,1,3,high
8665,2,4,0,0,mid
8666,2,3,0,3,mid
8667,5,4,1,0,mid
8668,2,3,1,3,mid
8669,1,4,1,3,mid
8670,1,2,0,1,mid
8671,3,1,0,3,mid
8672,4,0,0,1,high
8673,4,2,0,3,mid
8674,1,0,0,2,high
8675,5,2,1,2,mid
8676,0,3,0,1,mid
8677,3,2,1,0,mid
8678,5,2,0,3,mid
8679,2,1,0,3,low
8680,1,0,1,2,high
8681,1,2,0,0,mid
8682,0,0,0,0,high
8683,2,0,0,2,high
8684,0,1,0,2,low
8685,1,1,1,1,low
8686,0,1,0,3,low
8687,1,0,1,1,high
8688,2,2,1,1,mid
8689,2,3,1,0,mid
8690,4,3,1,1,mid
8691,1,2,1,1,mid
8692,4,0,0,0,high
8693,1,2,1,2,mid
8694,1,1,1,2,mid
8695,1,0,1,2,high
8696,3,1,1,3,low
8697,0,1,1,1,low
8698,3,4,0,3,mid
8699,1,2,1,0,mid
8700,0,0,1,1,high
8701,0,1,0,0,low
8702,3,1,1,1,mid
8703,2,2,0,0,mid
8704,1,4,0,2,mid
8705,0,4,1,2,mid
8706,4,1,1,2,mid
8707,2,4,0,3,mid
8708,0,2,0,1,mid
8709,3,1,0,3,low
8710,5,2,0,2,mid
8711,3,3,0,3,mid
8712,4,2,1,3,mid
8713,0,4,0,3,mid
8714,3,4,1,2,mid
8715,1,0,0,1,high
8716,5,4,1,2,mid
8717,0,1,0,3,mid
8718,1,2,1,3,mid
8719,4,3,0,1,mid
8720,4,1,1,1,low
8721,3,3,1,2,mid
8722,3,3,0,0,mid
8723,0,0,0,1,high
8724,4,1,1,1,mid
8725,2,0,1,2,high
8726,0,4,1,2,mid
8727,4,0,1,1,high
8728,0,3,0,3,mid
8729,3,1,1,0,low
8730,4,0,1,2,high
8731,3,2,0,1,mid
8732,1,1,0,1,low
8733,0,0,0,3,high
8734,2,0,1,2,high
8735,2,3,0,1,mid
8736,5,2,1,1,mid
8737,2,1,1,1,low
8738,0,4,0,2,mid
8739,0,0,1,2,high
8740,3,2,1,1,mid
8741,5,1,1,0,low
8742,2,2,1,1,mid
8743,2,1,1,2,low
8744,1,1,1,0,low
8745,5,1,0,1,mid
8746,1,0,0,1,high
8747,4,1,1,2,mid
8748,0,2,0,0,mid
8749,2,1,1,3,low
8750,2,0,1,1,high
8751,1,4,0,3,mid
8752,3,4,0,0,mid
8753,1,1,1,0,mid
8754,4,0,1,1,high
8755,3,4,1,3,mid
8756,3,1,0,2,low
8757,4,1,0,0,mid
8758,1,2,0,3,mid
8759,5,2,1,1,mid
8760,2,1,1,0,low
8761,1,3,0,0,mid
8762,1,1,1,0,mid
8763,4,3,0,3,mid
8764,5,0,0,1,high
8765,4,0,1,1,high
8766,0,2,1,1,mid
8767,4,0,1,1,high
8768,0,3,1,1,mid
8769,2,4,0,2,mid
8770,3,2,1,0,mid
8771,4,4,1,1,mid
8772,1,3,0,2,mid
8773,0,4,1,3,mid
8774,4,4,0,0,mid
8775,4,4,0,0,mid
8776,3,0,1,3,high
8777,2,0,0,2,high
8778,5,4,1,3,mid
8779,4,4,1,2,mid
8780,0,3,0,3,mid
8781,4,2,0,3,mid
8782,0,3,1,1,mid
8783,1,2,1,3,mid
8784,5,2,0,3,mid
8785,1,4,0,1,mid
8786,3,1,0,3,low
8787,5,1,0,1,low
8788,4,0,0,2,high
8789,0,0,0,2,high
8790,3,0,1,2,high
8791,2,4,1,2,mid
8792,0,3,0,3,mid
8793,0,0,1,1,high
8794,0,3,0,2,mid
8795,2,2,0,3,mid
8796,5,4,0,3,mid
8797,2,0,1,2,high
8798,3,3,0,1,mid
8799,5,1,0,3,low
8800,4,3,0,0,mid
8801,5,4,0,2,mid
8802,0,3,0,3,mid
8803,4,0,0,3,high
8804,1,3,1,0,mid
8805,1,1,1,1,mid
8806,1,3,1,3,mid
8807,5,3,1,0,mid
8808,5,2,1,0,mid
8809,4,4,0,0,mid
8810,3,0,1,3,high
8811,5,0,0,2,high
8812,1,4,0,0,mid
8813,0,1,1,1,mid
8814,2,4,0,2,mid
8815,0,4,1,1,mid
8816,2,1,1,1,low
8817,5,2,1,3,mid
8818,0,1,1,1,low
8819,2,4,1,1,mid
8820,4,4,0,0,mid
8821,5,2,0,3,mid
8822,4,0,1,0,high
8823,1,0,1,2,high
8824,3,2,0,0,mid
8825,2,0,0,0,high
8826,3,2,1,2,mid
8827,1,2,0,1,mid
8828,3,4,1,3,mid
8829,2,3,1,3,mid
8830,1,0,0,3,high
8831,3,4,1,0,mid
8832,5,3,0,0,mid
8833,5,0,0,0,high
8834,5,0,1,2,high
8835,0,0,0,3,high
8836,3,4,0,1,mid
8837,0,2,0,0,mid
8838,5,1,0,3,low
8839,4,2,0,1,mid
8840,0,1,1,0,mid
8841,3,4,1,2,mid
8842,0,2,0,3,mid
8843,5,3,1,0,mid
8844,1,3,0,2,mid
8845,3,3,0,1,mid
8846,2,3,1,0,mid
8847,5,1,0,0,mid
8848,5,1,1,0,mid
8849,2,3,0,0,mid
8850,2,0,1,0,high
8851,5,4,1,2,mid
8852,0,0,1,3,high
8853,2,1,1,0,mid
8854,0,4,0,0,mid
8855,2,1,1,1,low
8856,2,1,0,0,mid
8857,1,3,0,3,mid
8858,5,3,0,2,mid
8859,4,0,1,3,high
8860,0,1,0,3,mid
8861,3,3,0,2,mid
8862,5,3,1,0,mid
8863,4,2,0,1,mid
8864,5,4,0,0,mid
8865,2,2,0,1,mid
8866,1,4,1,2,mid
8867,1,1,0,0,mid
8868,0,3,1,3,mid
8869,4,0,1,1,high
8870,1,0,1,3,high
8871,1,4,1,1,mid
8872,4,3,0,1,mid
8873,1,4,1,1,mid
8874,5,2,0,3,mid
8875,2,2,1,3,mid
8876,0,2,0,0,mid
8877,4,4,0,2,mid
8878,4,1,1,0,mid
8879,3,2,1,0,mid
8880,3,3,0,0,mid
8881,3,1,1,2,mid
8882,3,0,1,1,high
8883,1,2,1,1,mid
8884,3,0,1,2,high
8885,5,0,0,0,high
8886,0,4,1,3,mid
8887,0,3,0,1,mid
8888,4,1,1,1,mid
8889,3,1,0,1,low
8890,4,0,0,1,high
8891,4,0,1,1,high
8892,1,2,0,0,mid
8893,1,0,1,1,high
8894,5,2,0,2,mid
8895,3,2,0,3,mid
8896,1,1,0,0,low
8897,2,3,0,2,mid
8898,2,4,0,1,mid
8899,1,1,0,0,low
8900,1,2,0,0,mid
8901,5,1,0,3,mid
8902,5,0,1,1,high
8903,4,0,1,0,high
8904,4,0,0,1,high
8905,4,2,1,3,mid
8906,1,0,1,3,high
8907,2,2,0,2,mid
8908,1,2,1,0,mid
8909,5,3,0,0,mid
8910,0,2,1,2,mid
8911,3,2,1,3,mid
8912,2,3,0,1,mid
8913,1,2,1,2,mid
8914,2,2,0,3,mid
8915,5,1,0,0,mid
8916,3,4,0,2,mid
8917,2,3,1,0,mid
8918,3,4,1,2,mid
8919,0,0,1,2,high
8920,0,2,0,2,mid
8921,2,1,1,3,mid
8922,1,3,0,1,mid
8923,0,4,0,0,mid
8924,5,3,0,1,mid
8925,3,4,1,3,mid
8926,4,0,0,1,high
8927,1,2,1,1,mid
8928,3,3,1,3,mid
8929,5,3,1,1,mid
8930,0,3,0,2,mid
8931,5,2,0,0,mid
8932,3,3,1,3,mid
8933,0,0,0,3,high
8934,0,0,1,3,high
8935,4,1,1,0,mid
8936,3,4,0,2,mid
8937,2,4,1,0,mid
8938,2,3,0,0,mid
8939,1,2,1,3,mid
8940,5,1,1,3,mid
8941,2,0,1,3,high
8942,1,3,0,0,mid
8943,2,3,0,0,mid
8944,5,0,0,2,high
8945,1,0,1,2,high
8946,1,0,0,3,high
8947,0,4,0,3,mid
8948,2,3,0,3,mid
8949,4,4,1,1,low
8950,2,3,1,3,mid
8951,0,4,0,2,mid
8952,1,2,1,3,mid
8953,3,0,0,3,high
8954,3,2,0,3,mid
8955,3,4,1,3,mid
8956,0,3,0,1,mid
8957,4,1,1,3,low
8958,0,4,0,2,mid
8959,5,1,1,2,mid
8960,1,2,0,3,mid
8961,2,1,1,0,mid
8962,4,2,1,2,mid
8963,0,3,1,1,mid
8964,0,1,1,1,mid
8965,5,3,0,3,mid
8966,4,2,0,0,mid
8967,3,3,0,0,mid
8968,4,0,0,1,high
8969,5,3,0,2,mid
8970,2,4,0,0,mid
8971,4,4,0,2,mid
8972,0,1,0,2,low
8973,1,3,0,1,mid
8974,5,1,1,2,low
8975,2,0,0,1,high
8976,3,3,0,0,mid
8977,0,0,0,2,high
8978,0,1,1,3,mid
8979,5,2,0,0,mid
8980,5,4,0,2,mid
8981,2,4,1,2,mid
8982,0,4,0,1,mid
8983,2,0,1,1,high
8984,3,2,0,2,mid
8985,5,0,0,3,high
8986,0,2,1,0,mid
8987,3,2,1,1,mid
8988,0,0,0,2,high
8989,4,2,0,0,mid
8990,3,3,1,3,mid
8991,4,2,1,0,mid
8992,3,3,0,1,mid
8993,4,4,0,1,mid
8994,5,2,0,0,mid
8995,5,3,0,1,mid
8996,2,1,0,3,mid
8997,1,1,1,1,low
8998,4,1,0,2,mid
8999,0,2,1,2,mid
9000,5,3,0,3,mid
9001,0,1,1,3,low
9002,1,0,0,3,high
9003,3,4,0,1,mid
9004,5,2,1,3,mid
9005,1,3,0,2,mid
9006,0,1,0,1,low
9007,3,1,0,1,mid
9008,3,3,0,0,mid
9009,2,3,0,3,mid
9010,0,0,0,3,high
9011,4,4,1,3,mid
9012,4,1,1,1,low
9013,3,0,1,1,high
9014,2,4,0,3,mid
9015,1,1,0,1,mid
9016,3,3,1,2,mid
9017,2,0,1,3,high
9018,0,3,0,2,mid
9019,1,1,1,1,mid
9020,1,0,1,1,high
9021,2,4,0,0,mid
9022,1,2,0,0,mid
9023,4,1,0,1,low
9024,4,0,1,1,high
9025,0,1,0,1,mid
9026,4,1,0,3,mid
9027,5,2,1,1,mid
9028,0,0,0,0,high
9029,2,2,0,1,mid
9030,2,2,1,3,mid
9031,0,1,0,1,low
9032,4,1,1,1,mid
9033,5,3,0,3,mid
9034,5,0,0,1,high
9035,1,1,1,2,mid
9036,4,1,0,1,mid
9037,3,3,0,3,mid
9038,2,3,1,3,mid
9039,3,4,0,2,mid
9040,4,3,0,3,mid
9041,2,0,0,1,high
9042,3,3,0,0,mid
9043,2,1,0,3,mid
9044,5,2,1,2,mid
9045,4,1,1,1,mid
9046,2,2,1,1,mid
9047,0,1,0,2,low
9048,5,3,0,3,mid
9049,0,0,0,2,high
9050,2,2,0,3,mid
9051,4,3,1,0,mid
9052,0,2,1,1,mid
9053,3,2,1,1,mid
9054,5,3,0,2,mid
9055,0,4,1,3,mid
9056,0,2,1,2,mid
9057,5,3,1,1,mid
9058,1,2,0,1,mid
9059,1,1,1,0,low
9060,2,3,1,3,mid
9061,1,3,0,2,mid
9062,5,3,1,1,mid
9063,4,1,1,1,low
9064,2,4,1,3,mid
9065,4,3,0,3,mid
9066,2,3,1,1,mid
9067,4,1,1,2,low
9068,1,4,1,3,mid
9069,3,2,0,0,mid
9070,0,1,0,1,low
9071,1,1,1,3,mid
9072,2,2,0,0,mid
9073,5,2,0,0,mid
9074,1,1,1,0,mid
9075,3,4,1,1,mid
9076,1,4,0,2,mid
9077,2,0,1,0,high
9078,1,0,0,3,high
9079,0,4,0,0,mid
9080,1,4,0,2,mid
9081,2,2,0,0,mid
9082,1,3,1,1,mid
9083,4,3,0,0,mid
9084,2,4,0,1,mid
9085,4,1,0,2,mid
9086,1,2,1,0,mid
9087,1,1,0,1,low
9088,1,3,0,2,mid
9089,2,3,0,3,mid
9090,0,0,0,3,high
9091,1,3,0,1,mid
9092,0,2,0,2,mid
9093,0,2,1,3,mid
9094,3,4,0,3,mid
9095,3,2,1,2,mid
9096,4,3,0,2,mid
9097,3,0,0,0,high
9098,5,4,1,3,mid
9099,5,1,0,0,mid
9100,0,1,0,2,mid
9101,2,1,0,2,mid
9102,2,1,1,0,low
9103,4,0,0,1,high
9104,4,3,1,2,mid
9105,3,4,1,0,mid
9106,4,1,0,0,low
9107,1,4,1,0,mid
9108,5,3,1,2,mid
9109,5,3,1,0,mid
9110,2,4,0,0,mid
9111,4,4,1,1,mid
9112,5,3,0,2,mid
9113,4,4,1,0,mid
9114,0,0,0,1,high
9115,2,0,1,3,high
9116,1,1,0,1,low
9117,1,0,1,3,high
9118,0,1,0,0,low
9119,1,1,1,3,mid
9120,4,1,0,0,low
9121,5,2,1,2,mid
9122,5,1,1,3,mid
9123,1,4,0,2,mid
9124,5,4,0,0,mid
9125,3,3,1,2,mid
9126,3,1,0,1,low
9127,2,1,0,2,low
9128,3,2,1,0,mid
9129,3,1,0,2,low
9130,0,3,0,1,mid
9131,5,0,1,3,high
9132,0,4,0,2,mid
9133,3,2,0,2,mid
9134,5,2,0,2,mid
9135,5,0,1,2,high
9136,4,2,0,3,mid
9137,2,3,0,3,mid
9138,1,3,1,2,mid
9139,0,2,1,1,mid
9140,4,0,1,2,high
9141,1,0,0,1,high
9142,5,4,0,1,mid
9143,0,2,1,2,mid
9144,1,3,1,3,mid
9145,1,1,0,2,mid
9146,0,0,1,3,high
9147,1,1,0,2,mid
9148,0,0,0,1,high
9149,1,4,0,1,mid
9150,5,2,0,2,mid
9151,3,4,1,0,mid
9152,4,1,1,2,low
9153,0,2,0,1,mid
9154,0,3,0,3,mid
9155,4,0,0,2,high
9156,1,2,1,1,mid
9157,4,1,0,3,mid
9158,2,1,0,3,mid
9159,1,3,0,3,mid
9160,0,0,1,0,high
9161,0,2,1,2,mid
9162,5,3,0,1,mid
9163,2,2,1,1,mid
9164,1,4,0,3,mid
9165,1,4,1,2,mid
9166,3,0,0,1,high
9167,4,4,1,2,mid
9168,0,3,0,3,mid
9169,4,2,0,2,mid
9170,1,0,0,3,high
9171,4,1,1,3,mid
9172,2,1,0,1,mid
9173,0,4,0,0,mid
9174,5,1,1,1,mid
9175,1,3,1,3,mid
9176,1,1,1,1,mid
9177,3,1,1,0,low
9178,1,1,1,2,mid
9179,3,1,1,1,mid
9180,1,3,0,1,mid
9181,2,2,0,3,mid
9182,4,1,1,2,mid
9183,0,0,1,0,high
9184,1,1,0,0,mid
9185,4,4,1,0,mid
9186,0,4,1,1,mid
9187,5,1,0,3,low
9188,1,3,0,1,mid
9189,0,1,1,0,mid
9190,4,1,0,1,mid
9191,4,2,1,2,mid
9192,4,2,0,3,mid
9193,1,3,1,0,mid
9194,2,1,1,2,low
9195,2,0,1,3,high
9196,0,4,0,0,mid
9197,5,2,1,3,mid
9198,3,2,0,1,high
9199,4,2,0,3,mid
9200,2,4,1,3,mid
9201,0,1,1,2,low
9202,4,4,1,2,mid
9203,0,0,1,1,high
9204,1,2,1,3,mid
9205,2,4,0,0,mid
9206,1,4,0,1,mid
9207,4,4,0,0,mid
9208,0,3,1,1,mid
9209,1,4,1,3,mid
9210,2,0,1,1,high
9211,2,1,0,3,mid
9212,0,0,1,3,high
9213,4,0,0,2,high
9214,5,4,0,0,mid
9215,0,3,1,1,mid
9216,0,3,0,3,mid
